,hh_id,name,link,salary
0,46018194,Product Analyst,https://chelyabinsk.hh.ru/vacancy/46018194?from=vacancy_search_list&query=data%20analyst,
1,47085480,Business Analyst (BI Team),https://chelyabinsk.hh.ru/vacancy/47085480?from=vacancy_search_list&query=data%20analyst,
2,47115183,Аналитик данных,https://chelyabinsk.hh.ru/vacancy/47115183?from=vacancy_search_list&query=data%20analyst,
3,47079165,Senior IT Analyst,https://chelyabinsk.hh.ru/vacancy/47079165?from=vacancy_search_list&query=data%20analyst,
4,43715306,System Analyst (Mobile Team),https://chelyabinsk.hh.ru/vacancy/43715306?from=vacancy_search_list&query=data%20analyst,
5,47006548,Senior Data Analyst,https://chelyabinsk.hh.ru/vacancy/47006548?from=vacancy_search_list&query=data%20analyst,3 300 – 5 000 USD
6,46270926,Market Research Analyst,https://chelyabinsk.hh.ru/vacancy/46270926?from=vacancy_search_list&query=data%20analyst,
7,47112946,Junior / Middle Data analyst,https://chelyabinsk.hh.ru/vacancy/47112946?from=vacancy_search_list&query=data%20analyst,до 150 000 руб.
8,46956576,Data Analyst,https://chelyabinsk.hh.ru/vacancy/46956576?from=vacancy_search_list&query=data%20analyst,от 200 000 руб.
9,46956577,Data Analyst,https://chelyabinsk.hh.ru/vacancy/46956577?from=vacancy_search_list&query=data%20analyst,от 200 000 руб.
10,47038209,Junior Data Analyst,https://chelyabinsk.hh.ru/vacancy/47038209?from=vacancy_search_list&query=data%20analyst,
11,46825108,Data Scientist,https://chelyabinsk.hh.ru/vacancy/46825108?from=vacancy_search_list&query=data%20analyst,3 000 – 5 000 USD
12,45260586,Математик-аналитик (data scientist / data analyst),https://chelyabinsk.hh.ru/vacancy/45260586?from=vacancy_search_list&query=data%20analyst,от 98 000 руб.
13,46023548,Middle/Senior Data Analyst,https://chelyabinsk.hh.ru/vacancy/46023548?from=vacancy_search_list&query=data%20analyst,от 200 000 руб.
14,46875665,Web data analyst,https://chelyabinsk.hh.ru/vacancy/46875665?from=vacancy_search_list&query=data%20analyst,от 130 000 руб.
15,45955296,Data Analyst,https://chelyabinsk.hh.ru/vacancy/45955296?from=vacancy_search_list&query=data%20analyst,100 000 – 150 000 руб.
16,41124052,Аналитик /Data Analyst,https://chelyabinsk.hh.ru/vacancy/41124052?from=vacancy_search_list&query=data%20analyst,
17,46337449,Аналитик данных / Data Analyst (Middle/Senior),https://chelyabinsk.hh.ru/vacancy/46337449?from=vacancy_search_list&query=data%20analyst,
18,47166429,Data analyst / Data scientist,https://chelyabinsk.hh.ru/vacancy/47166429?from=vacancy_search_list&query=data%20analyst,
