,sj_id,name,link,salary
0,37621267,BI-разработчик / Аналитик,https://www.superjob.ru/vakansii/bi-razrabotchik-37621267.html,По договорённости
1,38466785,Кредитный аналитик,https://www.superjob.ru/vakansii/kreditnyj-analitik-38466785.html,По договорённости
2,37666475,Бизнес-аналитик 1С,https://www.superjob.ru/vakansii/biznes-analitik-1s-37666475.html,По договорённости
3,38610656,Старший кредитный аналитик малого бизнеса,https://www.superjob.ru/vakansii/starshij-kreditnyj-analitik-malogo-biznesa-38610656.html,По договорённости
4,38519034,Ассистент-аналитик (образование в области промышленной и бизнес-аналитики),https://www.superjob.ru/vakansii/assistent-analitik-38519034.html,50 000 — 60 000 руб./месяц
5,37240870,Аналитик 1С,https://www.superjob.ru/vakansii/analitik-1s-37240870.html,По договорённости
6,38659496,Аналитик,https://www.superjob.ru/vakansii/analitik-38659496.html,По договорённости
7,38659478,Системный аналитик (цифровая трансформация банка),https://www.superjob.ru/vakansii/sistemnyj-analitik-38659478.html,По договорённости
8,38209299,Аналитик,https://www.superjob.ru/vakansii/analitik-38209299.html,По договорённости
9,38209092,Консультант-аналитик,https://www.superjob.ru/vakansii/konsultant-analitik-38209092.html,По договорённости
10,38429120,Системный аналитик,https://www.superjob.ru/vakansii/sistemnyj-analitik-38429120.html,160 000 — 200 000 руб./месяц
11,38208838,Бизнес-аналитик удаленно,https://www.superjob.ru/vakansii/biznes-analitik-udalenno-38208838.html,до 180 000 руб./месяц
12,38177606,Экономист-аналитик,https://www.superjob.ru/vakansii/ekonomist-analitik-38177606.html,По договорённости
13,38608316,Маркетолог-аналитик,https://www.superjob.ru/vakansii/marketolog-analitik-38608316.html,от 70 000 руб./месяц
14,36819230,Помощник аналитика,https://www.superjob.ru/vakansii/pomoschnik-analitika-36819230.html,от 55 000 руб./месяц
15,38654501,Системный аналитик,https://www.superjob.ru/vakansii/sistemnyj-analitik-38654501.html,По договорённости
16,38654859,Главный экономист-аналитик,https://www.superjob.ru/vakansii/glavnyj-ekonomist-analitik-38654859.html,По договорённости
17,38516784,Маркетолог-аналитик (оптовое направление),https://www.superjob.ru/vakansii/marketolog-analitik-38516784.html,По договорённости
18,36514312,Аналитик 1С,https://www.superjob.ru/vakansii/analitik-1s-36514312.html,от 104 400 руб./месяц
19,38208508,Главный специалист / Системный аналитик,https://www.superjob.ru/vakansii/glavnyj-specialist-38208508.html,По договорённости
20,37621267,BI-разработчик / Аналитик,https://www.superjob.ru/vakansii/bi-razrabotchik-37621267.html,По договорённости
21,38466785,Кредитный аналитик,https://www.superjob.ru/vakansii/kreditnyj-analitik-38466785.html,По договорённости
22,37666475,Бизнес-аналитик 1С,https://www.superjob.ru/vakansii/biznes-analitik-1s-37666475.html,По договорённости
23,38610656,Старший кредитный аналитик малого бизнеса,https://www.superjob.ru/vakansii/starshij-kreditnyj-analitik-malogo-biznesa-38610656.html,По договорённости
24,38519034,Ассистент-аналитик (образование в области промышленной и бизнес-аналитики),https://www.superjob.ru/vakansii/assistent-analitik-38519034.html,50 000 — 60 000 руб./месяц
25,37240870,Аналитик 1С,https://www.superjob.ru/vakansii/analitik-1s-37240870.html,По договорённости
26,38659496,Аналитик,https://www.superjob.ru/vakansii/analitik-38659496.html,По договорённости
27,38659478,Системный аналитик (цифровая трансформация банка),https://www.superjob.ru/vakansii/sistemnyj-analitik-38659478.html,По договорённости
28,38209299,Аналитик,https://www.superjob.ru/vakansii/analitik-38209299.html,По договорённости
29,38209092,Консультант-аналитик,https://www.superjob.ru/vakansii/konsultant-analitik-38209092.html,По договорённости
30,38429120,Системный аналитик,https://www.superjob.ru/vakansii/sistemnyj-analitik-38429120.html,160 000 — 200 000 руб./месяц
31,38208838,Бизнес-аналитик удаленно,https://www.superjob.ru/vakansii/biznes-analitik-udalenno-38208838.html,до 180 000 руб./месяц
32,38177606,Экономист-аналитик,https://www.superjob.ru/vakansii/ekonomist-analitik-38177606.html,По договорённости
33,38608316,Маркетолог-аналитик,https://www.superjob.ru/vakansii/marketolog-analitik-38608316.html,от 70 000 руб./месяц
34,36819230,Помощник аналитика,https://www.superjob.ru/vakansii/pomoschnik-analitika-36819230.html,от 55 000 руб./месяц
35,38654501,Системный аналитик,https://www.superjob.ru/vakansii/sistemnyj-analitik-38654501.html,По договорённости
36,38654859,Главный экономист-аналитик,https://www.superjob.ru/vakansii/glavnyj-ekonomist-analitik-38654859.html,По договорённости
37,38516784,Маркетолог-аналитик (оптовое направление),https://www.superjob.ru/vakansii/marketolog-analitik-38516784.html,По договорённости
38,36514312,Аналитик 1С,https://www.superjob.ru/vakansii/analitik-1s-36514312.html,от 104 400 руб./месяц
39,38208508,Главный специалист / Системный аналитик,https://www.superjob.ru/vakansii/glavnyj-specialist-38208508.html,По договорённости
